uuid,name,component_type,catalog_name,equipment_class,r11,r22,r33,x11,x22,x33,r_matrix_units,x_matrix_units,c_matrix_units,ampacity_value,ampacity_units,construction
9e9f252d-6067-4817-908a-d9b4681923e9,padswitch_3_5,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,445,ampere,OVERHEAD
ce1ca2ce-ef51-4e9f-a9c6-0023f649e772,padswitch_3_6,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,550,ampere,OVERHEAD
2090533e-8460-4462-b5ee-7b7d5c3c9278,padswitch_3_7,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,595,ampere,OVERHEAD
666e149c-5195-4045-b433-8cf3eea0dfba,padswitch_3_8,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,960,ampere,OVERHEAD
118d9e4c-c78c-4156-8023-93d75fac8ef4,padswitch_3_12,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,301,ampere,OVERHEAD
125fb1cc-ef68-46ab-afbe-0cf92995501b,padswitch_3_19,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,151,ampere,OVERHEAD
e1f9dc28-41d5-4fa5-bd24-f56ba5b97dcb,padswitch_3_17,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,205,ampere,OVERHEAD
310578b0-e59a-40ba-8418-65124bea6b8b,padswitch_3_9,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,370,ampere,OVERHEAD
fb7acf55-4b86-4c39-8479-29cf9a3448f4,fuse_1_7,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,151,ampere,OVERHEAD
d972378e-0a6e-4719-ab6b-e85bc664b3ac,fuse_1_3,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,295,ampere,OVERHEAD
b737d842-45c9-4391-8e9c-0b841e6364b4,fuse_1,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,325,ampere,OVERHEAD
e78fc8ec-b0b6-42f1-9705-50c0ef072c77,fuse_1_8,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,301,ampere,OVERHEAD
673ad36a-4edf-4e36-a9c5-173204b50cf5,fuse_1_4,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,370,ampere,OVERHEAD
74898b41-4b1e-4d88-b6af-233898644a63,fuse_1_12,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,445,ampere,OVERHEAD
d56e78da-7821-4a71-aa69-0b6d6b911a96,fuse_1_6,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,205,ampere,OVERHEAD
d1043ebc-093b-4d13-a80b-696ff168e189,fuse_1_2,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,165,ampere,OVERHEAD
54f05d43-7bbc-40a3-9046-7c846fb4bffd,3p_oh_al_acsr_336kcmil_merlin_3,MatrixImpedanceBranchEquipment,,,0.2377333,0.2377333,0.2377333,0.6083333,0.6083333,0.6083333,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,475,ampere,OVERHEAD
70b60251-4e06-4abc-a8d5-abf8153f5d95,3p_ug_al_500kcmil_3,MatrixImpedanceBranchEquipment,,,0.1743333,0.1743333,0.1743333,0.8743333,0.8743333,0.8743333,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,900,ampere,OVERHEAD
fe6d51f3-97a9-4151-b9d7-0907e693095a,3p_ug_al_750kcmil_3,MatrixImpedanceBranchEquipment,,,0.1368733,0.1368733,0.1368733,0.8584667,0.8584667,0.8584667,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,525,ampere,OVERHEAD
704237cd-1911-40a5-822f-e08be2043df3,3p_ug_al_3_3,MatrixImpedanceBranchEquipment,,,0.445,0.445,0.445,0.5326,0.5326,0.5326,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,285,ampere,OVERHEAD
fae5a07c-dcab-4114-a162-f5e803e50a03,padswitch_3_1,MatrixImpedanceBranchEquipment,,,0.001,0.001,0.001,0.001,0.001,0.001,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,900,ampere,OVERHEAD
b1bdf0a9-f5b4-4349-a8be-435cadc4c159,fuse_1_1,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,115,ampere,OVERHEAD
6b363897-ad30-4d7e-8527-50de6e860ae9,fuse_1_10,MatrixImpedanceBranchEquipment,,,0.001,,,0.001,,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,475,ampere,OVERHEAD
33275a02-b5b8-43c4-9ed3-668b11e4fd01,1p_oh_al_4/0_zuzara_2_1,MatrixImpedanceBranchEquipment,,,0.4728,0.4728,,0.213533333333333,0.213533333333333,,ohm / kilometer,ohm / kilometer,nanofarad / kilometer,300,ampere,OVERHEAD
